date,canal,format,segment,theme,copy,cta,asset
"2026-08-01","Instagram","Reel","Clients B2C","Commande WhatsApp","Prépare ta demande sur delikreol.com puis confirme sur WhatsApp.","Commander local","/marketing/ads/delikreol-b2c-whatsapp.svg"
"2026-08-02","Facebook","Post carrousel","Entreprises","Traiteur partenaire","Montre tes plats, reçois des demandes qualifiées, garde le contrôle.","Devenir partenaire","/marketing/ads/delikreol-traiteurs-recrutement.svg"
"2026-08-03","WhatsApp Status","Story","Traiteurs","Repas entreprise","Réunions et séminaires : repas créoles planifiés sur devis.","Demander un devis","/marketing/ads/delikreol-business-livraison.svg"
"2026-08-04","Blog","Article court","Livreurs","Livraison planifiée","La livraison locale fonctionne mieux avec des créneaux réalistes.","Voir livraison","/marketing/ads/delikreol-b2c-whatsapp.svg"
"2026-08-05","Meta Ads","Annonce","Points relais","Plat local","Un produit, une histoire, un traiteur martiniquais.","Voir catalogue","/marketing/ads/delikreol-traiteurs-recrutement.svg"
"2026-08-06","Instagram","Reel","Clients B2C","Commande WhatsApp","Prépare ta demande sur delikreol.com puis confirme sur WhatsApp.","Commander local","/marketing/ads/delikreol-business-livraison.svg"
"2026-08-07","Facebook","Post carrousel","Entreprises","Traiteur partenaire","Montre tes plats, reçois des demandes qualifiées, garde le contrôle.","Devenir partenaire","/marketing/ads/delikreol-b2c-whatsapp.svg"
"2026-08-08","WhatsApp Status","Story","Traiteurs","Repas entreprise","Réunions et séminaires : repas créoles planifiés sur devis.","Demander un devis","/marketing/ads/delikreol-traiteurs-recrutement.svg"
"2026-08-09","Blog","Article court","Livreurs","Livraison planifiée","La livraison locale fonctionne mieux avec des créneaux réalistes.","Voir livraison","/marketing/ads/delikreol-business-livraison.svg"
"2026-08-10","Meta Ads","Annonce","Points relais","Plat local","Un produit, une histoire, un traiteur martiniquais.","Voir catalogue","/marketing/ads/delikreol-b2c-whatsapp.svg"
"2026-08-11","Instagram","Reel","Clients B2C","Commande WhatsApp","Prépare ta demande sur delikreol.com puis confirme sur WhatsApp.","Commander local","/marketing/ads/delikreol-traiteurs-recrutement.svg"
"2026-08-12","Facebook","Post carrousel","Entreprises","Traiteur partenaire","Montre tes plats, reçois des demandes qualifiées, garde le contrôle.","Devenir partenaire","/marketing/ads/delikreol-business-livraison.svg"
"2026-08-13","WhatsApp Status","Story","Traiteurs","Repas entreprise","Réunions et séminaires : repas créoles planifiés sur devis.","Demander un devis","/marketing/ads/delikreol-b2c-whatsapp.svg"
"2026-08-14","Blog","Article court","Livreurs","Livraison planifiée","La livraison locale fonctionne mieux avec des créneaux réalistes.","Voir livraison","/marketing/ads/delikreol-traiteurs-recrutement.svg"
"2026-08-15","Meta Ads","Annonce","Points relais","Plat local","Un produit, une histoire, un traiteur martiniquais.","Voir catalogue","/marketing/ads/delikreol-business-livraison.svg"
"2026-08-16","Instagram","Reel","Clients B2C","Commande WhatsApp","Prépare ta demande sur delikreol.com puis confirme sur WhatsApp.","Commander local","/marketing/ads/delikreol-b2c-whatsapp.svg"
"2026-08-17","Facebook","Post carrousel","Entreprises","Traiteur partenaire","Montre tes plats, reçois des demandes qualifiées, garde le contrôle.","Devenir partenaire","/marketing/ads/delikreol-traiteurs-recrutement.svg"
"2026-08-18","WhatsApp Status","Story","Traiteurs","Repas entreprise","Réunions et séminaires : repas créoles planifiés sur devis.","Demander un devis","/marketing/ads/delikreol-business-livraison.svg"
"2026-08-19","Blog","Article court","Livreurs","Livraison planifiée","La livraison locale fonctionne mieux avec des créneaux réalistes.","Voir livraison","/marketing/ads/delikreol-b2c-whatsapp.svg"
"2026-08-20","Meta Ads","Annonce","Points relais","Plat local","Un produit, une histoire, un traiteur martiniquais.","Voir catalogue","/marketing/ads/delikreol-traiteurs-recrutement.svg"
"2026-08-21","Instagram","Reel","Clients B2C","Commande WhatsApp","Prépare ta demande sur delikreol.com puis confirme sur WhatsApp.","Commander local","/marketing/ads/delikreol-business-livraison.svg"
"2026-08-22","Facebook","Post carrousel","Entreprises","Traiteur partenaire","Montre tes plats, reçois des demandes qualifiées, garde le contrôle.","Devenir partenaire","/marketing/ads/delikreol-b2c-whatsapp.svg"
"2026-08-23","WhatsApp Status","Story","Traiteurs","Repas entreprise","Réunions et séminaires : repas créoles planifiés sur devis.","Demander un devis","/marketing/ads/delikreol-traiteurs-recrutement.svg"
"2026-08-24","Blog","Article court","Livreurs","Livraison planifiée","La livraison locale fonctionne mieux avec des créneaux réalistes.","Voir livraison","/marketing/ads/delikreol-business-livraison.svg"
"2026-08-25","Meta Ads","Annonce","Points relais","Plat local","Un produit, une histoire, un traiteur martiniquais.","Voir catalogue","/marketing/ads/delikreol-b2c-whatsapp.svg"
"2026-08-26","Instagram","Reel","Clients B2C","Commande WhatsApp","Prépare ta demande sur delikreol.com puis confirme sur WhatsApp.","Commander local","/marketing/ads/delikreol-traiteurs-recrutement.svg"
"2026-08-27","Facebook","Post carrousel","Entreprises","Traiteur partenaire","Montre tes plats, reçois des demandes qualifiées, garde le contrôle.","Devenir partenaire","/marketing/ads/delikreol-business-livraison.svg"
"2026-08-28","WhatsApp Status","Story","Traiteurs","Repas entreprise","Réunions et séminaires : repas créoles planifiés sur devis.","Demander un devis","/marketing/ads/delikreol-b2c-whatsapp.svg"
