date,segment,nom,commune,contact,source,offre,statut,montant_potentiel,prochaine_action,date_relance,notes
2026-07-06,traiteur,Le Bon Appetit,Fort-de-France,0696 61 12 84,site_web,Repas entreprise,a_contacter,,qualifier_partenaire_et_offre_b2b,2026-07-08,Plateaux repas entreprise 8-100 personnes; devis sous 24h.
2026-07-06,traiteur,Le Fioup,Fort-de-France,+596 596 755 625,site_web,Pack visibilite traiteur,a_contacter,49,proposer_mini_page_et_demandes_qualifiees,2026-07-08,Traiteur Fort-de-France; email public lefioup.traiteur@orange.fr.
2026-07-06,restaurant,#LERESTO,Martinique,09 74 56 23 56,site_web,Repas entreprise,a_contacter,,qualifier_offre_plateaux_repas,2026-07-08,Positionnement traiteur entreprise.
2026-07-06,traiteur,Le Stanley,Sainte-Marie,,site_web,Repas entreprise,a_contacter,,demander_contact_devis_entreprise,2026-07-08,Evenements pro et devis 24-48h; service toute Martinique.
2026-07-06,restaurant,Sweet Box by chef Jordann,Martinique,0696 328 285,instagram,Carte menu digitale,a_contacter,39,proposer_menu_digital,2026-07-08,Box brunch/apero; WhatsApp public Instagram.
2026-07-06,traiteur,A Ma Table,Sud/Centre,0696 109 370,instagram,Pack visibilite traiteur,a_contacter,49,proposer_visibilite_pilote,2026-07-08,Box brunch traiteur evenements; contact WhatsApp uniquement.
2026-07-06,restaurant,MADIN'BOX,Martinique,0696 297 419,instagram,Carte menu digitale,a_contacter,39,proposer_menu_digital,2026-07-08,Livraison partout Martinique; commande WhatsApp/SMS/appel.
2026-07-06,traiteur,Omy Traiteur,Schoelcher,,site_web,Pack visibilite traiteur,a_contacter,49,rechercher_contact_direct,2026-07-09,Cheffe a domicile et traiteur evenementiel.
2026-07-06,traiteur,Gricolat Gabriel,Martinique,,pages_jaunes,Pack visibilite traiteur,a_contacter,49,rechercher_contact_direct,2026-07-09,Traiteur repas affaires/plateaux repas bio.
2026-07-06,traiteur,Martinique Catering,Lamentin,,pages_jaunes,Pack visibilite traiteur,a_contacter,49,rechercher_contact_direct,2026-07-09,Traiteur options sans gluten/sans sel.
2026-07-06,traiteur,Nubul Raymond,Le Robert,,pages_jaunes,Pack visibilite traiteur,a_contacter,49,rechercher_contact_direct,2026-07-09,Cuisine creole traditionnelle.
2026-07-06,traiteur,Audibert Marcelle,Trois-Ilets,,pages_jaunes,Pack visibilite traiteur,a_contacter,49,rechercher_contact_direct,2026-07-09,Traiteur professionnel local.
2026-07-06,entreprise,CCI Martinique,Martinique,,reference_marche,Repas entreprise,a_qualifier,,trouver_contact_services_generaux,2026-07-09,Cible repas reunion/seminaire; verifier canal officiel.
2026-07-06,entreprise,CEMEA Martinique,Martinique,,reference_marche,Repas entreprise,a_qualifier,,trouver_contact_formation,2026-07-09,Cible formations et repas groupe.
2026-07-06,entreprise,Caisse d'Epargne Martinique,Martinique,,reference_marche,Repas entreprise,a_qualifier,,trouver_contact_agence_ou_rh,2026-07-09,Cible reunions internes/plateaux repas.
2026-07-06,entreprise,Credit Agricole Martinique,Martinique,,reference_marche,Repas entreprise,a_qualifier,,trouver_contact_agence_ou_rh,2026-07-09,Cible reunions internes/plateaux repas.
2026-07-06,entreprise,Bamitel,Martinique,,reference_marche,Repas entreprise,a_qualifier,,trouver_contact_entreprise,2026-07-09,Cible repas equipe/seminaire.
2026-07-06,restaurant,Chef Marty,Martinique,,instagram,Carte menu digitale,a_qualifier,39,rechercher_contact_direct,2026-07-09,Private dining/catering; publication recente.
2026-07-06,restaurant,Ti Plat Toupatou,Martinique,,instagram,Pack visibilite traiteur,a_qualifier,49,rechercher_contact_direct,2026-07-09,Application/livraison locale; partenariat potentiel.
2026-07-06,influence,Martinique Eat Life,Martinique,martin.eat@outlook.fr,instagram,Collaboration visibilite,a_contacter,,proposer_collab_decouverte,2026-07-09,Food explorator; collab par DM ou email public.
